Quantity,References,Value,Footprint,Part Number
3,"J1,J3,J5","MCV 1,5/ 2-G-3,5","Connectors_Phoenix:PhoenixContact_MCV-G_02x3.50mm_Vertical","MCV 1,5/ 2-G-3,5"
1,"J2","DB9_Female","FORT:LD09S13A4GX00LF","LD09S13A4GX00LF"
1,"U1","ADM3251E","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm","ADM3251E"
11,"C1,C2,C5,C3,C4,C6,C7,C8,C9,C12,C16","100n","Capacitors_SMD:C_0603","CC0603KRX7R8BB104"
1,"U2","ATMEGA16M1-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","ATMEGA16M1-AUR"
1,"Y1","16MHz","Crystals:Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm","FA-238 16.0000MB-C3"
2,"C10,C11","18pF","Capacitors_SMD:C_0603","C0603C180K5GACTU"
1,"R4","0R","Resistors_SMD:R_0603","RC0603JR-070RL"
1,"J4","M20-8760342","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm_SMD","M20-8760342"
1,"SW1","1825910-6","Buttons_Switches_THT:SW_PUSH_6mm","1825910-6"
1,"D4","BAT54","Diodes_SMD:D_SOT-23_ANK","BAT54-7-F"
1,"R5","100k","Resistors_SMD:R_0603","RMCF0603FT100K"
1,"D1","RED","LEDs:LED_0603","150060RS75000"
1,"D2","GREEN","LEDs:LED_0603","150060VS75000"
1,"D3","YELLOW","LEDs:LED_0603","150060YS75000"
3,"R1,R2,R3","1k","Resistors_SMD:R_0603","RMCF0603FT1K00"
1,"U3","MCP2561-E/SN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
1,"U4","MIC4680YM","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","MIC4680YM"
1,"D5","B260, 60V, 2A","Diodes_SMD:D_SMB","B260-13-F"
1,"L2","68uH, 560mA","Inductors_SMD:L_Wuerth_WE-PD2-Typ-MS","744773168"
1,"R6","15k","Resistors_SMD:R_0603","RMCF0603FT15K0"
1,"R7","4k7","Resistors_SMD:R_0603","RMCF0603FT4K70"
1,"C14","470u, 6.3V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Reflow","T491D477K006AT"
1,"C15","4u7, 6.3V","Capacitors_SMD:C_0603","CL10A475KQ8NNNC"
1,"C13","22uF, 35V","Capacitors_SMD:C_1206","C3216X5R1V226M160AC"
2,"L3,L1","500mA Fuse","Resistors_SMD:R_0603","BLM18AG471SN1D"
