Quantity,References,Value,Footprint,Part Number
3,"C3,C4,C5","4.7mF","Capacitors_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","381LX472M050J022"
2,"R3,R5","4.7, 3/4W","Resistors_SMD:R_2010","AC2010JK-074R7L"
3,"R2,R4,R6","33k","Resistors_SMD:R_0603","RMCF0603FT33K0"
1,"R1","15, 0.5W","Resistors_SMD:R_1206","RNCP1206FTD15R0"
1,"U1","UA9637","Housings_SOIC:SO-8_5.3x6.2mm_Pitch1.27mm","UA9637ACDR"
9,"C1,C2,C14,C6,C24,C16,C32,C26,C36","100nF","Capacitors_SMD:C_0603","06035C104KAT2A"
2,"J1,J3","Conn_02x04_Top_Bottom","Connectors_Molex:Molex_MiniFit-JR-5569-08A2_2x04x4.20mm_Angled","39-30-1080"
1,"J2","Conn_02x03_Top_Bottom","FORT:Molex_MiniFit-JR-5569-06A2_2x03x4.20mm_Angled","39-30-1060"
4,"D11,D10,D13,D12","SMAJ6.0A","Diodes_SMD:D_SMA","SMAJ6.0A"
8,"R19,R26,R40,R29,R32,R35,R31,R36","100K","Resistors_SMD:R_0603","RMCF0603FT100K"
2,"D14,D15","UV","LEDs:LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm","VAOL-5GUV8T4"
2,"R34,R39","82","Resistors_SMD:R_0603","RMCF0603FT82R0"
1,"Q3","BSS138L","TO_SOT_Packages_SMD:SOT-23","BSS138L"
3,"U2,U3,U4","TPS92512","FORT:PDSO-10-1EP-3x3mm-Pitch0.5mm","TPS92512"
16,"C8,C9,C10,C12,C7,C13,C18,C19,C20,C22,C17,C23,C27,C28,C29,C31","4.7uF,50V","Capacitors_SMD:C_1206","12065C475KAT2A"
3,"L1,L2,L3","100uH, 2.5A","FORT:7447709101","7447709101"
6,"D2,D1,D4,D3,D6,D5","60V, 2A","Diodes_SMD:D_SMB","B260-13-F"
3,"R9,R16,R23","1K","Resistors_SMD:R_0603","RMCF0603FT1K00"
2,"R13,R20","0.2, 1%, 0.5W","Resistors_SMD:R_1206","CSR1206FKR200"
3,"R8,R15,R22","10M","Resistors_SMD:R_0603","RMCF0603FT10M0"
3,"R7,R14,R21","1.96M","Resistors_SMD:R_0603","RMCF0603FT1M96"
3,"R10,R17,R24","66.5k","Resistors_SMD:R_0603","RMCF0603FT66K5"
2,"R11,R18","267k","Resistors_SMD:R_0603","RMCF0603FT267K"
3,"C11,C21,C30","10nF, 50V","Capacitors_SMD:C_0603","06035C103KAT4A"
1,"R27","0.33, 1%, 0.5W","Resistors_SMD:R_0805","ERJ-6DQFR33V"
1,"R25","162k","Resistors_SMD:R_0603","RMCF0603FT162K"
1,"U5","TPS1H100AQ","FORT:HTSSOP-14-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad","TPS1H100AQPWPRQ1"
1,"R28","47, 5W","Resistors_THT:R_Radial_Power_L13.0mm_W9.0mm_P5.00mm","SQP500JB-47R"
1,"Q1","IRF9Z34NPbF","TO_SOT_Packages_THT:TO-220_Vertical","IRF9Z34NPbF"
1,"D7","10V","FORT:D_SOT-23_KAN","LM4040DIM3X-10/NOPB"
1,"R33","2.94K","Resistors_SMD:R_0603","RMCF0603FT2K94"
2,"R30,R38","10K","Resistors_SMD:R_0603","RMCF0603FT10K0"
2,"C34,C15","1uF","Capacitors_SMD:C_0603","0603YD105KAT2A"
1,"Q2","PMV48XP,215","TO_SOT_Packages_SMD:SOT-23","PMV48XP,215"
1,"C25","0.01uF","Capacitors_SMD:C_0603","06035C103KAT4A"
1,"U6","LP3985IM5-5.0/NOPB","TO_SOT_Packages_SMD:SOT-23-5","LP3985IM5-5.0/NOPB"
1,"U7","ATTINY24-20SSU","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","ATTINY24-20SSU"
2,"D8,D9","BAT54","Diodes_SMD:D_SOT-23_ANK","BAT54"
2,"C37,C38","18pF","Capacitors_SMD:C_0603","06031A180KAT2A"
1,"J4","Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm_SMD","M20-8760342"
1,"R37","12.7k","Resistors_SMD:R_0603","RMCF0603FT12K7"
1,"SW1","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm","1825910-6"
1,"R12","100","Resistors_SMD:R_0603","RMCF0603FT100"
1,"Y1","10MHz","Crystals:Crystal_SMD_TXC_7M-4pin_3.2x2.5mm","7V-10.000MAHJ-T"
