Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment

C1         C_0603          86.750mm      -4.800mm      86.750mm      -4.800mm      86.750mm      -4.050mm  T       270.000 100nF
C2         C_0603          84.000mm     -12.800mm      84.000mm     -12.800mm      83.250mm     -12.800mm  T         0.000 100nF
C3         C_0805          83.500mm     -10.800mm      83.500mm     -10.800mm      82.500mm     -10.800mm  T         0.000 22uF
C4         C_0603          43.750mm     -10.000mm      43.750mm     -10.000mm      43.750mm      -9.250mm  T       270.000 100nF
C5         C_0603          56.100mm     -11.000mm      56.100mm     -11.000mm      56.100mm     -11.750mm  T        90.000 100nF
C6         C_0603          38.500mm     -15.800mm      38.500mm     -15.800mm      39.250mm     -15.800mm  T       180.000 100nF
C7         C_0603          45.500mm     -17.450mm      45.500mm     -17.450mm      45.500mm     -16.700mm  T       270.000 18pF
C8         C_0603          51.300mm     -17.450mm      51.300mm     -17.450mm      51.300mm     -18.200mm  T        90.000 18pF
C9         C_0603          23.500mm      10.300mm      23.500mm      10.300mm      23.500mm      11.050mm  T       270.000 100nF
C10        C_0603          23.500mm      -0.500mm      23.500mm      -0.500mm      23.500mm       0.250mm  T       270.000 100nF
C11        C_0603          23.500mm       5.900mm      23.500mm       5.900mm      23.500mm       5.150mm  T        90.000 100nF
C12        C_0603          38.300mm      53.100mm      38.300mm      53.100mm      39.050mm      53.100mm  T       180.000 0.22uF_25V
C13        C_0603          40.800mm      59.300mm      40.800mm      59.300mm      40.800mm      58.550mm  T        90.000 1uF_50V
C14        C_0603          36.800mm      46.000mm      36.800mm      46.000mm      36.800mm      45.250mm  T        90.000 1uF
C15        C_1206          31.400mm      63.400mm      31.400mm      63.400mm      29.900mm      63.400mm  T         0.000 47uF
C16        C_0603          42.200mm      46.000mm      42.200mm      46.000mm      42.200mm      45.250mm  T        90.000 1uF
C17        C_0603          36.800mm      49.000mm      36.800mm      49.000mm      36.800mm      49.750mm  T       270.000 10nF_50V
